8, 3140.9349253273563, 0.47171s
16, 77.90606388483393, 0.97085s
32, 1075.1939607157287, 1.79530s
64, 8219.870870240817, 3.58874s
128, 11497.080983761307, 7.93419s
256, 1592.4597249336746, 14.66194s
512, 22768.5162315594, 37.10674s
